,names,marker
ENSG00000066468,FGFR2,Fib 
ENSG00000204531,POU5F1,ES
ENSG00000111704,NANOG,ES
ENSG00000132688,NES,NSC
ENSG00000007372,PAX6,NSC
ENSG00000182968,SOX1,NSC
ENSG00000181449,SOX2,NSC
ENSG00000139352,ASCL1,NSC
ENSG00000184486,POU3F2,NSC
ENSG00000131095,GFAP,Glial
ENSG00000197971,MBP,Glial
ENSG00000205927,OLIG2,Glial
ENSG00000077279,DCX,Neuro 
ENSG00000258947,TUBB3,Neuro
ENSG00000149294,NCAM1,Neuro
ENSG00000078018,MAP2,Neuro
ENSG00000186868,MAPT,Neuro
ENSG00000102003,SYP,Neuro
ENSG00000179915,NRXN1,Neuro
ENSG00000136854,STXBP1,Neuro
ENSG00000132639,SNAP25,Neuro
ENSG00000167281,RBFOX3,Neuro
ENSG00000257923,CUX1,Neuro
ENSG00000120251,GRIA2,Neuro
ENSG00000152578,GRIA4,Neuro
ENSG00000164418,GRIK2,Neuro
ENSG00000153234,NR4A2,Neuro
ENSG00000128683,GAD1,Neuro
ENSG00000136750,GAD2,Neuro
ENSG00000132535,DLG4,Neuro
ENSG00000008056,SYN1,Neuro
ENSG00000171723,GPHN,Neuro
ENSG00000145362,ANK2,Neuro
ENSG00000091664,SLC17A6,Cort
ENSG00000104888,SLC17A7,Cort
ENSG00000151834,GABRA2,Neuro
ENSG00000131771,PPP1R1B,Str
